
campaigncutscene_tooltip 				(Κάνε κλικ για να ξεκινήσει το επόμενο κεφάλαιο της ιστορίας)
objective_food_alcoholprogram_description 	Κάνε κλικ στις «Αναφορές» στην κάτω δεξιά γωνία της οθόνης και μετά διάλεξε την καρτέλα «Προγράμματα». \n\nΣημείωση: Θα χρειαστεί να ορίσεις τουλάχιστον δύο ώρες χρόνου Εργασίας στο Καθεστώς, για να επιτρέψεις στους κρατουμένους να συμμετέχουν.

cutscene_food_feudintro1 				Είχαμε ένα περιστατικό στα ντους. Κάποιος σκοτώθηκε.  
cutscene_food_feudintro2 				Βασικά, δύο άτομα σκοτώθηκαν. Ευτυχώς για μας, έχουμε τοποθετήσει κάμερες.  
cutscene_food_feudintro3 				Όταν βρεις λίγο χρόνο, κάνε κλικ στην φωτογραφία Πολαρόιντ στα Ντους για να δούμε τι συνέβη.

objective_food_triggerfightscene		Όταν ετοιμαστείς, κάνε κλικ στην φωτογραφία Πολαρόιντ στα Ντους για να συνεχίσεις.
objective_food_triggerfightscene_description 	Τα Ντους βρίσκονται στη βορειοδυτική γωνία του ιδρύματος.

cutscene_food_feud1b                    Μόνος. Τέλεια.
cutscene_food_feud1                     Άργησες.
cutscene_food_feud2                     Άσε τις μαλακίες. Ποτέ μου δεν κατάλαβα τι σου βρήκε αυτή η καριόλα η αδελφή μου.
cutscene_food_feud2b 					Δική της ιδέα ήταν; Να ξεπαστρέψει τον γέρο;
cutscene_food_feud3                     Αυτό νομίζεις ότι έγινε, χοντρέλα; Δεν ήθελα να πάθει κακό. Τον νοιάζομαι σαν να ήταν δικός μου πατέρας.
cutscene_food_feud3b 					Έχω βαρεθεί να βλέπω αυτή την οικογένεια να καταστρέφεται λόγω της ηλιθιότητάς σου.
cutscene_food_feud4                     Η φωτιά είχε στόχο εσένα.
cutscene_food_feud5                     Τότε δες το αυτό σαν να σου ανταποδίδω τη χάρη.
cutscene_food_feud6                     Μην κάνεις τον άγιο. Το ξέρουμε και οι δυο καλά ότι σχεδίαζες να με βγάλεις απ' τη μέση μια μέρα.
cutscene_food_feud7                     Έπιανες πάντα πουλιά στον αέρα, Νίκο. Για δες τελικά πόσο σε βοήθησε. Μην ανησυχείς, δεν θα πονέσεις καθόλου.
cutscene_food_feud8                     Σου το 'πα. Να φυλάς τα νώτα σου.
cutscene_food_feud8b                    Εεεγχγκ!!!
cutscene_food_feud8c                    ΑΑΑΑΑΑΓΚΡΚ-Κ!!
cutscene_food_feud8d                    Έχετε γνωριστεί με τον Φράνκι; Έχει τρομερό ταλέντο με τα σύρματα πιάνου.
cutscene_food_feud8e                    Ειλικρινά, όταν τελειώσει τη δουλειά θα νομίζουν ότι ήταν αυτοκτονία.
cutscene_food_feud9                     Δεν τελειώσαμε ακόμα, Νίκο.
cutscene_food_feud9b                    Με δουλεύεις.

cutscene_food_successionintro			Πολύ ωραία. Καταφέραμε πολλά εδώ και πιστεύω ότι η φυλακή βρίσκεται ξανά υπό έλεγχο.
cutscene_food_successionintro2 			Μπορείς να μείνεις και να βελτιώσεις κι άλλο αυτή τη φυλακή ή να προχωρήσουμε στο επόμενο σωφρονιστικό ίδρυμα.
cutscene_food_successionintro3 			Όταν θελήσεις να προχωρήσεις, κάνε κλικ στη φωτογραφία Πολαρόιντ στο Αναρρωτήριο.

objective_food_runending 				Όταν ετοιμαστείς, κάνε κλικ στην φωτογραφία Πολαρόιντ στο Αναρρωτήριο για να συνεχίσεις.
objective_food_runending_description	Το Αναρρωτήριο βρίσκεται στη νοτιοδυτική άκρη της φυλακής.

cutscene_food_succession1				Βιτάλια!  
cutscene_food_succession1b				...;
cutscene_food_succession2				Μωράκι μου!
cutscene_food_succession3				Συγνώμη. Τα σκάτωσα.
cutscene_food_succession4				Σώπασε τώρα.
cutscene_food_succession5				Είπαν ότι ο Δον θα αντέξει το πολύ μέχρι το τέλος της βδομάδας.
cutscene_food_succession6				Το ξέρω. Ήρθα να του πω αντίο.
cutscene_food_succession7				Ξέρεις... θα μπορούσαμε να φύγουμε τώρα. Εσύ κι εγώ. Μας έφαγε αυτή η κωλοζωή.
cutscene_food_succession8				Θα το ήθελα.
cutscene_food_succession9				Αλλά δεν γίνεται. Είμαι μια Παλέρμο, Νίκο.
cutscene_food_succession10				Και χωρίς τον μπαμπά... με έναν ξένο όπως εσύ στη θέση του... Οι εχθροί μας θα ποδοπατήσουν τελείως αυτή την οικογένεια.  
cutscene_food_succession11 				Δεν μπορώ να το επιτρέψω αυτό. Πρέπει να τους δείξω ότι μια Παλέρμο συνεχίζει να κάθεται στον θρόνο.
cutscene_food_succession12				Και τι στο καλό, ήρθες εδώ για να με καθαρίσεις; Ύστερα απ' όλα όσα περάσαμε μαζί;
cutscene_food_succession13				Αχ, Νίκο, Νίκο. Είσαι τόσο της παλιάς σχολής.  
cutscene_food_succession14 				Όχι, καλέ μου. Σε χωρίζω.
cutscene_food_succession15				Τι διάολο; Με δουλεύεις; Αν δεν έχω τη στήριξη της οικογένειας εδώ μέσα, ξόφλησα.
cutscene_food_succession16				Το ξέρω, καλέ μου. Μα δεν με απασχολεί πια αυτό.
cutscene_food_succession17				Ελπίζω να βρεθείς σε ένα καλύτερο μέρος, μπαμπάκα.
cutscene_food_succession18				Αντίο, Νίκο.


# =============================================================================
# Riot 
# =============================================================================

campaignchapter_riot                    Δεν υπάρχει χώρος για συμπόνια
campaignchapter_riot_description		Μια εξέγερση βρίσκεται σε εξέλιξη στις Κρατικές Φυλακές Αλκέμικο. Πιάσε δουλειά και ασφάλισε το κτίριο.

campaigncutscene_riotintro              Έκτακτη επικαιρότητα

adviser_riot_newsintro_01				Έκτακτες ειδήσεις!  
adviser_riot_newsintro_02				Εξέγερση στις Κρατικές Φυλακές Αλκέμικο. Προσωπικό και δυνάμεις ασφαλείας έχουν υποχωρήσει στην περίμετρο και περιμένουν τη βοήθεια του στρατού.
adviser_riot_newsintro_1				Αγνοούνται ακόμα αρκετά μέλη του προσωπικού, μεταξύ αυτών και ο Γενικός Διευθυντής της εταιρείας, Τσαρλς Ουάλας.
adviser_riot_newsintro_2				Οι ταραχές ξεκίνησαν ύστερα από την σύλληψη πολλών γνωστών δικαστών...
adviser_riot_newsintro_3				...οι οποίοι φέρονται να έχουν λάβει χρηματικές αμοιβές με αντάλλαγμα την επιβολή αυστηρότερων ποινών φυλάκισης.
adviser_riot_newsintro_4				Λάδι στη φωτιά ρίχνουν πηγές που αναφέρουν ότι ο υπόκοσμος πρόσφατα συγκλονίστηκε από μια σειρά δολοφονιών σημαντικών προσωπικοτήτων του...
adviser_riot_newsintro_5				...συμπεριλαμβανομένης της απόπειρας δολοφονίας του αρχιμαφιόζου Βίκτορ Παλέρμο, τον περασμένο μήνα.
adviser_riot_newsintro_6				Το έργο της αποκατάστασης της τάξης ανατέθηκε στον βοηθό του Διευθύνοντα Συμβούλου Τσαρλς Ουάλας.
adviser_riot_newsintro_7				Παραμένει να δούμε αν η έλλειψη εμπειρίας αυτού του βοηθού θα αποβεί μοιραία σε αυτή την ομολογουμένως δύσκολη κατάσταση.
adviser_riot_newsintro_8                Πηγές αναφέρουν ότι αρχηγός της σπείρας που θεωρείται υπεύθυνη για αυτό το ξέσπασμα βίας είναι ο Ντάγκλας Μπένεντικτ, ο οποίος εκτίει ποινή ισόβιας κάθειρξης.

adviser_riot_newsintroheller_1 			Μόλις πριν από λίγο, ο δήμαρχος της πόλης, Κάλβιν Χέλερ, έκανε την εξής δήλωση.
adviser_riot_newsintroheller_2 			Ελπίζω τα γεγονότα της σημερινή ημέρας να αποτελέσουν μια σκληρή υπενθύμιση για όσους αμφισβητούν τις πολιτικές αναμόρφωσης που ακολουθούμε.  
adviser_riot_newsintroheller_3 			Σε αυτούς τους άντρες παρέχεται στέγαση και τροφή. Τους δίνεται το προνόμιο της αμειβόμενης εργασίας.  
adviser_riot_newsintroheller_4 			Και αυτό είναι το ευχαριστώ τους στους φορολογούμενους που εξασφαλίζουν τις ανέσεις τους.

campaigncutscene_riothostages			Όμηροι
adviser_name_riotceo					Διευθύνων Σύμβουλος  
adviser_name_riotbenedict 				Μπένεντικτ

adviser_riot_hostages1					Άκου δω. Κρατάμε τον Σύμβουλό σας.  
adviser_riot_hostages1b 				Αααχ...
adviser_riot_hostages2 					Να πώς θα γίνει η δουλειά. Εγώ ζητάω. Κι εσύ μου δίνεις.  
adviser_riot_hostages3					Με το παραμικρό πρόβλημα, αν στείλετε κανέναν μέσα ή με το που θα μυριστώ μπάτσους, θα του φυτέψω μια σφαίρα στο κεφάλι.
adviser_riot_hostages4 					Θέλουμε ένα ασημάδευτο όχημα με φιμέ παράθυρα και γεμάτο ντεπόζιτο. Έχεις μία ώρα. Θα 'μαστε σε επαφή.
adviser_riot_hostages5 					Πάει και αυτό. Πού ήμασταν εμείς;
adviser_riot_hostages5b					Τι δουλειά είχες σε κείνο το γραφείο;
adviser_riot_hostages6					Σ' το ορκίζομαι, δεν ξέρω τίποτα.
adviser_riot_hostages7					Έχω δει τόσες φορές το πρόσωπό μου στον καθρέφτη, που έχω μάθει να ξεχωρίζω πότε κάνει ένας άνθρωπος κάτι κακό.
adviser_riot_hostages8					Τι έκρυβες;
adviser_riot_hostages9					Εγώ ανήκω εδώ μέσα. Αλλά ο μικρός... τι ακριβώς ωφέλησε τον οποιονδήποτε, να πρέπει να βγάλει ο μικρός περισσότερη φυλακή;
adviser_riot_hostages10					Κάτι ξέρεις εσύ, και ο μόνος τρόπος να βγεις ζωντανός από δω μέσα είναι να μου το πεις.

adviser_riot_hostageheller1 			Αυτό είναι τελείως απαράδεκτο. Χρειαζόμαστε ορατότητα μέσα στο μαγειρείο, για να παρακολουθούμε την κατάσταση.
adviser_riot_hostageheller2 			Υπάρχει ένα μικρό δωμάτιο ασφαλείας βόρια του μαγειρείου. Πρέπει να το ασφαλίσουμε.
adviser_riot_hostageheller3 			Τοποθέτησε μερικούς Φύλακες μέσα του, για να χειριστούν την κονσόλα Παρακολούθησης και θα έχουμε ορατότητα ολόκληρης της πτέρυγας κράτησης.

objective_Riot_MaxSecCameras			Ανακατάλαβε το δωμάτιο ασφαλείας

campaigncutscene_riotroulette			Ρουλέτα

adviser_riot_rouletteintro1             Τώρα που έχουμε έναν φύλακα στο δωμάτιο ασφαλείας, λαμβάνουμε ζωντανά εικόνες από τις κάμερες παρακολούθησης.
adviser_riot_rouletteintro2             Για να δούμε πώς έχει η κατάσταση με τους όμηρους.
adviser_riot_click 						<κλικ>
adviser_riot_roulette1					Τελευταία ευκαιρία να βγεις από δω μέσα, μεγάλε. Έχεις παίξει ποτέ ρώσικη ρουλέτα;
adviser_riot_roulette2 					Δυο σφαίρες. Τέσσερεις άδειες θαλάμες.  
adviser_riot_roulette2b 				Το παίζαμε με λαγούς κάποτε. Τους τινάζαμε τα κεφάλια στον αέρα, δεν έμενε τίποτα.  
adviser_riot_roulette3 					Αλλά κι εσύ μια χαρά μου κάνεις.
adviser_riot_roulette4 					Ας αρχίσουμε με μια απλή ερώτηση. Τι έκανες στο γραφείο;
adviser_riot_roulette5 					Σ' το ορκίζομαι, δεν ξέρω τίποτα.
adviser_riot_roulette5b 				Μάλιστα.
adviser_riot_roulette6 					Εντάξει λοιπόν. Με ποιον ξεκινάμε; Με μένα; Με σένα; Μήπως μ' αυτόν εκεί;
adviser_riot_roulette7					Μπα μπα, για δες. Σαν τον λαγό κι αυτός.
adviser_riot_roulette8 					ΤΙ ΕΙΧΑΝ ΜΕΣΑ ΟΙ ΦΑΚΕΛΟΙ;
adviser_riot_roulette9 					Σου ορκίζομαι! Δεν ξέρω...
adviser_riot_roulette10 				Η τύχη σου τελειώνει. Έχει μείνει μία σφαίρα ακόμα εδώ μέσα. Και ξέρω καλά τι είδα.
adviser_riot_roulette11b 				Δεν πίστευα στα μάτια μου.
adviser_riot_roulette11c 				Το ίδιο το μεγαλοαφεντικό, εδώ, στη φυλακή μου. Ύποπτος μέχρι τα γαμημένα μπούνια.  
adviser_riot_roulette11d 				Απ' ό,τι καταλαβαίνω, σ' αυτά τα αρχεία υπήρχε κάτι παραπάνω απ' το μητρώο μου.
adviser_riot_roulette11					Μη. Σε παρακαλώ.  
adviser_riot_roulette11e 				Τα περιθώρια έχουν αρχίσει να στενεύουν, Ουάλας.
adviser_riot_roulette12 				Άσε να σε διευκολύνω λίγο.
adviser_riot_roulette12b	 			Εντάξει, αρκετά μ' αυτές τις παπαριές.
adviser_riot_roulette13 				Ήρθε η σειρά σου, καργιόλη. Εκτός αν μου πεις αυτό που θέλω εδώ και τώρα.
adviser_riot_roulette14 				Δεν μπορώ. Σε παρακαλώ.
adviser_riot_roulette15 				Εντάξει. Σε παρακαλώ. Μη. Μη ρίξεις. Ήταν για τα λεφτά. Το θέμα ήταν τα λεφτά.
adviser_riot_roulette16 				Αυτό είναι όλο;
adviser_riot_roulette17 				Είστε πολύτιμοι πόροι. Όσο περισσότερο καιρό μένει ο καθένας από σας εδώ μέσα, τόσο περισσότερο κέρδος βγάζουμε. Απλά μαγειρεύαμε τα στοιχεία.  
adviser_riot_roulette17b				Εκείνος ο φάκελος ήταν οι αποδείξεις.
adviser_riot_roulette18 				Πόσα αξίζουμε, δηλαδή; Πόσα παίρνετε για να μας κρατάτε εδώ μέσα;
adviser_riot_roulette19 				Εβδομήντα τρεις χιλιάδες δολάρια το χρόνο.
adviser_riot_roulette20					Για τον καθένα μας; Τι λε ρε φίλε; Ώρα να αρχίσεις να επιστρέφεις τα χρωστούμενα.

campaigncutscene_riotassault 			Διείσδυση

adviser_riot_assault01					Αυτό ήταν. Ήρθε η στιγμή να δώσουμε τέλος σ' αυτό το περιστατικό.  
adviser_riot_assault02 					Η ομάδα είναι στη θέση της.  
adviser_riot_assault03					Θέλω το όχημά μου τώρα. Ο Ουάλας θα 'ρθει μαζί μας. Και αν πάρω χαμπάρι ότι μ' έχει πάρει κανένας στο κατόπι, θα μαζεύετε τα κομματάκια του από την άσφαλτο.
adviser_riot_assault2 					Εντάξει, μεγάλε. Εσύ θα 'ρθεις μαζί μας. Δεν θα ρισκάρουν να κάνουν τίποτα χαζό, αν σε βάλουμε να κάθεσαι μπροστά μπροστά.
adviser_riot_assault3 					Δεν θα βγει κανείς μας από δω μέσα. Δεν είσαι εσύ αυτός που θέλουν.
adviser_riot_assault4 					Τι 'ναι αυτά που λες;
adviser_riot_assault5					Εγώ το έκανα για τα λεφτά. ΑΥΤΟΣ όμως το έκανε για πολιτικό όφελος. Όσο μεγαλύτερες ήταν οι ποινές σας, τόσο περισσότερους ψήφους κέρδιζε.
adviser_riot_assault6					Για ποιον μιλάς τώρα, γαμώτο;
adviser_riot_assault7					Για τον δήμαρχο Χέλερ. Δικό του ήταν το σχέδιο. Εγώ απλά λάδωνα το μηχανισμό.  
adviser_riot_assault7b 					Αυτά τα αρχεία ήταν αποδείξεις που θα μπορούσαν να καταστρέψουν την καριέρα του.
adviser_riot_assault8					Πλάκα μου κάνεις τώρα.
adviser_riot_assault9 					Τι στο διάολο...
adviser_riot_assault9b					Μπουκάρουν, ετοιμαστείτε!
adviser_riot_assault10					ΣΑΣ ΠΡΟΕΙΔΟΠΟΙΗΣΑ, ΜΑΛΑΚΕΣ!

# Riot Objectives and help text

adviser_name_negotiator 				Διαπραγματευτής

adviser_riot_negotiator1 				Η κατάσταση είναι εκτός ελέγχου. Δεν υπάρχει κανένας επικεφαλής.
adviser_riot_negotiator2 				Έχουμε πολλές απώλειες και οι φύλακες που απομένουν αρνούνται να μπουν στις πτέρυγες που εξεγείρονται. Αναγκαστήκαμε να υποχωρήσουμε μέχρι την περίμετρο.
adviser_riot_negotiator3 				Βρες τι πρέπει να γίνει και σταμάτα αυτό το χάος, πριν ξεφύγουν τελείως τα πράγματα.
adviser_riot_negotiator4 				Οι αστυνομικές δυνάμεις καταστολής θα καταφτάσουν σε λίγα λεπτά.

adviser_riot_firstreinforcements1 		Έφτασε η πρώτη ομάδα άμεσης απόκρισης.  
adviser_riot_firstreinforcements2 	 	Αυτοί οι άντρες είναι Φύλακες καταστολής, πολύ πιο βαριά οπλισμένοι από τους κανονικούς φύλακες. Χρησιμοποίησέ τους για να αρχίσεις ν' ανακαταλαμβάνεις τις χαμένες πτέρυγες κράτησης.  
adviser_riot_firstreinforcements3 		Έχουμε και μερικούς διασώστες από το κρατικό νοσοκομείο της περιοχής.    
adviser_riot_firstreinforcements4 		Προτείνω να τους χρησιμοποιήσεις για να παρέχεις επείγουσα ιατρική βοήθεια στους Φύλακες καταστολής σου, όσο ανακαταλαμβάνουν τη φυλακή.

objective_Riot_StopTheRiot 				Σταμάτα την εξέγερση
objective_Riot_StopTheRiot_description  Δεν υπάρχει κανένας επικεφαλής. Πρέπει να σκεφτείς τι να κάνεις.

adviser_riot_helleradvice1				Υποθέτω ότι ομιλώ με τον βοηθό του Διευθύνοντα Συμβούλου.  
adviser_riot_helleradvice2 				Αντιλαμβάνομαι ότι η κατάσταση είναι πολύ δύσκολη και ο κόσμος έχει στραμμένα τα μάτια του πάνω μας. Σε διαβεβαιώνω ότι έχεις την πλήρη μου στήριξη και ότι μπορείς να χρησιμοποιήσεις κάθε πόρο που σου διατίθεται.  
adviser_riot_deployguards1				Καταφέραμε να διεισδύσουμε και να ανακαταλάβουμε ένα τμήμα της φυλακής. Η απώλεια ζωής μέχρι εδώ ήταν πλήρως δικαιολογημένη.
adviser_riot_deployguards2				Όμως, πριν προχωρήσεις και ανακαταλάβεις την υπόλοιπη φυλακή, καλό είναι να ασφαλίσεις τις πτέρυγες που έχεις υπό την κατοχή σου.
adviser_riot_deployguards3				Προσέλαβε μερικούς φύλακες και τοποθέτησέ τους στους τομείς που ανακατάλαβες από την οθόνη Τοποθέτησης. Έτσι θα εξασφαλίσεις ότι οι πτέρυγες που κατέλαβες θα παραμείνουν υπό την κατοχή σου.
adviser_riot_deployguards4 				Αφού το φροντίσεις αυτό, προχώρα στις ζώνες που απομένουν και βγάλε εκτός δράσης αυτά τα κτήνη. Δεν μπορούν να επανενταχτούν και είναι αδύνατο να διαπραγματευτούμε μαζί τους.
adviser_riot_deployguards5 				Προσπαθώ να λάβω εξουσιοδότηση για μια ομάδα Ένοπλης απόκρισης, η οποία θα δώσει γρήγορα τέλος σ' αυτό το περιστατικό.

adviser_riot_infirmary1 				Υπάρχουν τραυματίες σε όλη τη φυλακή και είναι βέβαιο ότι θα υπάρξουν κι άλλοι. Δεν μπορείς να τους αφήσεις να αιμορραγήσουν μέχρι θανάτου.  
adviser_riot_infirmary2 				Φτιάξε ένα Αναρρωτήριο στον χώρο και προσέλαβε Γιατρούς για να βοηθήσουν τους τραυματίες.
adviser_riot_infirmary3 				Είδαμε και αρκετούς νεκρούς. Για λόγους ανθρώπινης αξιοπρέπειας, πρέπει να φτιάξουμε ένα Νεκροτομείο και να αρχίζουμε να τους συγκεντρώνουμε εκεί.
adviser_riot_infirmary4					Θα χρειαστεί να προσλάβεις εργάτες για να αναλάβουν τις εργασίες κατασκευής. Φρόντισε να τους προστατεύσεις.

objective_Riot_ResecureWings 			Προσέλαβε φύλακες και τοποθέτησέ τους στις ζώνες που ανακατάλαβες
objective_riot_medicalneeds				(ΠΡΟΑΙΡΕΤΙΚΟ) Φρόντισε τις ιατρικές ανάγκες της φυλακής σου
objective_Riot_Infirmary				(ΠΡΟΑΙΡΕΤΙΚΟ) Φτιάξε ένα Αναρρωτήριο για να φροντίσει τους τραυματίες
objective_Riot_Morgue 					(ΠΡΟΑΙΡΕΤΙΚΟ) Φτιάξε ένα Νεκροτομείο για να συγκεντρώσεις τους νεκρούς
objective_Riot_SecureGenPop				Ανακατάλαβε την πτέρυγα Γενικού πληθυσμού (κεντρικά)
objective_Riot_SecureSpecialWing		Ανακατάλαβε την Ειδική πτέρυγα (δυτικά)
objective_Riot_SecureMaxSec				Ανακατάλαβε την πτέρυγα Υπερυψίστης ασφαλείας (νότια)
objective_riot_putoutfires				Θέσε τη φωτιά υπό έλεγχο

adviser_riot_secondreinforcements1		Έφτασαν κι άλλοι Φύλακες καταστολής.

adviser_riot_armedreinforcements1		Ο δήμαρχος έφερε ένοπλους αστυνομικούς από το αστυνομικό τμήμα της περιοχής.
adviser_riot_armedreinforcements2		Να προσέχεις με αυτούς τους τύπους. Αν τους αφήσεις λάσκα, μπορεί να προκληθεί τελικά ένα λουτρό αίματος.
adviser_riot_armedreinforcements3		Από την άλλη, οι κρατούμενοι πιθανώς να επιλέξουν να παραδοθούν όταν δουν αυτούς τους τύπους να μπαίνουν μέσα.

adviser_riot_reinforcementsunlocked1 	Έφτασε ο κύριος όγκος των ενισχύσεων.
adviser_riot_reinforcementsunlocked2 	Τώρα πια μπορείς να καλέσεις όσες ομάδες Φυλάκων καταστολής και Διασωστών χρειάζεσαι, από τη γραμμή εργαλείων Επείγοντα.

adviser_riot_cleanup1                   Το ίδρυμα βρίσκεται υπό έλεγχο και οι ταραχοποιοί περιορίστηκαν. Τα πράγματα θα μπορούσαν να είχαν εξελιχθεί πολύ χειρότερα.
adviser_riot_cleanup2                   Έχουμε μια τεράστια επιχείρηση καθαρισμού μπροστά μας. Αν έχεις τον χρόνο να διαθέσεις, θα εκτιμούσα τη βοήθειά σου σ' αυτό.
adviser_riot_cleanup2b 					Επειδή δεν έχουμε κανέναν συμβασιούχο οικοδόμο στο σημείο, το πρώτο βήμα θα είναι να προσλάβουμε μερικούς νέους εργάτες για να επισκευάσουν τις ζημιές.
adviser_riot_cleanup3                   Ανέκαθεν πίστευα ότι η ασφάλεια εδώ μέσα ήταν υπερβολικά χαλαρή. Εδώ και καιρό, αυτοί οι κρατούμενοι είχαν πάρα πολλή ελευθερία. Αυτό θα αλλάξει από σήμερα.
adviser_riot_cleanup4                   Θέλω να μας φτιάξεις ένα καινούργιο Οπλοστάσιο και στη συνέχεια να τοποθετήσεις ένοπλους φύλακες σε θέσεις-κλειδιά στη φυλακή. Οι κρατούμενοι θα καταστέλλονται και μόνο με το θέαμα αυτών των φυλάκων και θα το σκεφτούν καλά πριν προκαλέσουν ξανά τέτοιους μπελάδες.
adviser_riot_cleanup5                   Εγκρίνω επίσης ένα κονδύλιο για την παροχή θωράκισης σε όλους τους φύλακες του ιδρύματος. Οι άντρες μας πρέπει να έχουν την ικανότητα να αμυνθούν.
adviser_riot_cleanup6                   Αυτοί οι κρατούμενοι χρειάζονται πειθαρχία. Χρειάζονται τάξη στη ζωή τους. Προτείνω να τους βάλουμε να δουλέψουν, συμμαζεύοντας το χάλι που δημιούργησαν.
adviser_riot_cleanup7                   Ας ξεκινήσουμε ένα πρόγραμμα εργασίας για τους κρατουμένους μας και ας τους βάλουμε να καθαρίσουν τη φυλακή και να πλένουν τα ρούχα.
adviser_riot_cleanup7b                  Μπορείς να αναθέσεις δουλειές στους κρατουμένους από τη γραμμή εργαλείων, στην επιλογή Εφοδιαστική. Φέρε τον δρομέα πάνω στον στόχο για περισσότερη βοήθεια.
adviser_riot_cleanup8                   Χρειαζόμαστε μερικά ακόμα πράγματα. Υπάρχουν πολλοί κρατούμενοι που πρέπει να τιμωρηθούν για τις ενέργειές τους. Φτιάξε μια νέα πτέρυγα Απομόνωσης.
adviser_riot_cleanup8b                  Οι φύλακές μας θα φροντίσουν τη μεταφορά των κρατουμένων στην Απομόνωση, κατά το δοκούν. Η Απομόνωση δίνει στους κρατουμένους τον χρόνο που χρειάζονται, για να αναλογιστούν τις πράξεις τους και τους θυμίζει ποιος κάνει κουμάντο εδώ μέσα.
adviser_riot_cleanup9                   Και ας μην ξεχνάμε τα μέλη του προσωπικού που πέρασαν απ' αυτή τη δοκιμασία μαζί μας. Είναι εξαντλημένοι.
adviser_riot_cleanup9b 					Φτιάξε κάπου ένα δωμάτιο προσωπικού, ώστε να έχουν ένα μέρος να ξεκουράζονται.
adviser_riot_cleanup10                  Τέλος, πρέπει να τα κάνουμε όλα αυτά χωρίς να βγούμε εκτός προϋπολογισμού. Φρόντισε να έχουμε θετικό τραπεζικό υπόλοιπο και ταμειακή ροή.  
adviser_riot_cleanup10b 				Η εργασία των κρατουμένων είναι αρκετά φτηνότερη από συμβασιούχους εργαζομένους όταν πρόκειται για καθαρισμό χώρων, ρούχων και παρόμοιες υπηρεσίες.  
adviser_riot_cleanup11                  Έχουμε πολλά ακόμα να κάνουμε εδώ. Σ' ευχαριστούμε πολύ για τη βοήθειά σου.
adviser_riot_cleanup12                  Όταν θεωρήσεις ότι έκανες αρκετά και θελήσεις να προχωρήσεις, κάνε κλικ στη φωτογραφία πολαρόιντ στις μπροστινές πύλες.

adviser_riot_cleanup13 					Εξαιρετική δουλειά. Πιστεύω ότι το επίπεδο ασφάλειας αυτού του ιδρύματος είναι πλέον πολύ υψηλότερο.  

objective_riot_solitary 				(ΠΡΟΑΙΡΕΤΙΚΟ) Φτιάξε μια πτέρυγα Απομόνωσης και ξεκίνα να τιμωρείς τους ταραχοποιούς
objective_riot_armoury 					(ΠΡΟΑΙΡΕΤΙΚΟ) Εφάρμοσε νέα πρωτόκολλα ασφαλείας
objective_riot_armoury_research			Ξεκλείδωσε το Οπλοστάσιο μέσω της Γραφειοκρατίας
objective_riot_armoury_build 			Φτιάξε ένα Οπλοστάσιο (σε ασφαλή τοποθεσία)
objective_riot_armoury_deploy			Τοποθέτησε Ένοπλους φύλακες στη ζώνη Υπερψίστης ασφάλειας
objective_riot_armoury_armour 			Ξεκλείδωσε τη Θωράκιση για όλο το προσωπικό ασφαλείας
objective_riot_armoury_tazers 			Ξεκλείδωσε τα Τέιζερ για τους Ένοπλους φύλακές σου  
objective_riot_staffroom 				(ΠΡΟΑΙΡΕΤΙΚΟ) Φτιάξε ένα δωμάτιο Προσωπικού για το εξαντλημένο σου προσωπικό  
objective_riot_balancebooks 			(ΠΡΟΑΙΡΕΤΙΚΟ) Ισοστάθμισε τα λογιστικά σου  
objective_riot_balancebooks_balance 	Θετικό τραπεζικό υπόλοιπο  
objective_riot_balancebooks_cashflow 	Θετική ταμειακή ροή
objective_riot_prisonerwork				(ΠΡΟΑΙΡΕΤΙΚΟ) Εφάρμοσε ένα πρόγραμμα εργασίας κρατουμένων  

objective_riot_cleaningcupboard			Φτιάξε έναν Χώρο καθαριότητας  
objective_riot_laundry					Φτιάξε έναν Χώρο πλυντηρίων  
objective_riot_inmatesincleaning 		Ανάθεσε σε κρατούμενους εργασία Καθαριότητας
objective_riot_inmatesinlaundry			Ανάθεσε σε κρατούμενους εργασία Καθαρισμού ρούχων
objective_riot_cleanprison 				Καθάρισε τη φυλακή  
objective_riot_providelaundry			Χορήγησε καθαρά ρούχα

objective_riot_armoury_research_description		Το εικονίδιο γραφειοκρατίας βρίσκεται ακριβώς πάνω από τη λίστα υποχρεώσεών σου. Κάνε κλικ για να αρχίσει η έρευνα του «Οπλοστασίου» – θα αναλάβει ο Αρχιφύλακάς σου τη συμπλήρωση των απαραίτητων εγγράφων.  
objective_riot_armoury_deploy_description       Για να τοποθετήσεις Ένοπλους φύλακες, πήγαινε στην Τοποθέτηση και διάλεξε «Ένοπλες περιπολίες». Κάνε κλικ και σύρε για να σχεδιάσεις τις περιπολίες σου εκεί που θέλεις και ύστερα κάνε κλικ ξανά στις περιπολίες, για να τις αναθέσεις σε ένοπλους φύλακες.
objective_riot_armoury_guardtazers_description  Κοίταξε στις Αναφορές > Προγράμματα και θα βρεις την «Πιστοποίηση φυλάκων στη χρήση τέιζερ».\n\nΟι φύλακές σου πρέπει να εκπαιδευτούν, πριν μπορέσουν να χρησιμοποιήσουν Τέιζερ. Θα χρειαστεί να χτίσεις μια Αίθουσα διδασκαλίας για να κάνουν την εκπαίδευσή τους.
