
campaigncutscene_tooltip 				（点击触发剧情的下一章）
adviser_riot_cleanup8b                  我们的警卫将根据需要将囚犯押送到单独监禁牢房。单独监禁使囚犯有时间来思考他们的所作所为，并提醒他们这里由谁负责。
adviser_riot_cleanup9                   别忘了我们的员工，他们随我们一起度过严峻考验。他们已经筋疲力尽。
adviser_riot_cleanup9b 					建立一个员工休息室，给他们一个恢复的场所。
adviser_riot_cleanup10                  最终我们需要把这一切控制在预算内。确保我们的银行结余及现金流量为正。
adviser_riot_cleanup10b 				对于清洁、修理、洗衣等工作而言，囚犯劳工实际上比合同工更便宜。
adviser_riot_cleanup11                  这里还有很多事要做。我们非常感谢你的帮助。
adviser_riot_cleanup12                  当你完成操作且已经准备好继续时，点击前门的宝丽来摄像头。

adviser_riot_cleanup13 					干得好。这个设施的安全性现在强大多了。

objective_riot_solitary 				（可选）建立单独监禁侧翼并开始惩罚暴徒
objective_riot_armoury 					（可选）实施新的安防规程
objective_riot_armoury_research			通过行政系统解锁枪械库
objective_riot_armoury_build 			建立枪械库（在安全的位置）
objective_riot_armoury_deploy			在最高设防区域部署武装警卫
objective_riot_armoury_armour 			为所有安保人员解锁防弹衣
objective_riot_armoury_tazers 			为武装警卫解锁电击枪 
objective_riot_staffroom 				（可选）为精疲力竭的员工建立员工休息室 
objective_riot_balancebooks 			（可选）平衡账目 
objective_riot_balancebooks_balance 	正的银行结余 
objective_riot_balancebooks_cashflow 	正现金流
objective_riot_prisonerwork				（可选）建立惩罚性的劳教方案 

objective_riot_cleaningcupboard			建立清洁橱柜 
objective_riot_laundry					建立洗衣房 
objective_riot_inmatesincleaning 		给囚犯分配清洁工作
objective_riot_inmatesinlaundry			给囚犯分配洗衣工作
objective_riot_cleanprison 				清洁监狱 
objective_riot_providelaundry			提供洗净的衣物

objective_riot_armoury_research_description		行政系统按钮就在待办事项之上。在“枪械库”上点击以开始工作——你的安保主管会处理文件相关事宜。
objective_riot_armoury_deploy_description       转至部署然后选择“武装巡逻”以部署武装警卫。单击并拖动以绘制巡逻路线，然后再次点击巡逻以分配武装警卫。
objective_riot_armoury_guardtazers_description  查看报告/方案——你会看到“警卫电击枪培训”\n\n你的警卫需要经过培训才能使用电击枪。你将需要建立教室以执行该培训。
objective_riot_prisonerwork_description         转至后勤然后“狱中劳役”，即可给囚犯分配工作。点击向以绿色突出显示的任何房间添加工作。\n\n你还必须指定囚犯何时需要工作。转至报表/系统，并向当天添加几个小时的“工作”时间。如果这段时间内有工作可做，囚犯就会工作。

objective_Riot_PlayerExitsMap			在你完成后点击主入口外的宝丽来摄像头。


# =============================================================================
# Conviction
# =============================================================================

campaigncutscene_convictionheist        抢劫
campaigncutscene_convictionmorgan       摩根
campaigncutscene_convictionvisitation   探视
campaigncutscene_convictionsuicide      自杀

campaignchapter_conviction              定罪
campaignchapter_conviction_description  已经针对一名囚犯进行自杀监视。他就是亨利•摩根，本尼迪克特的犯罪同伙。可能被判处13月至5年的刑期。帮助我们关押好这些人。

adviser_name_benedictarmed              本尼迪克特
adviser_name_morgan                     亨利•摩根
adviser_name_morganarmed				亨利•摩根
adviser_name_morganhappy                亨利•摩根
adviser_name_senator                    参议员沃尔特•赫斯特
adviser_name_detective                  警探
adviser_name_kerry 						凯里•摩根 
adviser_name_hurst 						博士沃尔特•赫斯特 
adviser_name_keane 						警官基恩

adviser_conviction_heist1               拿钱，蠢货。
adviser_conviction_heist2               立刻放下武器！
adviser_conviction_heist2b				该死！
adviser_conviction_heist3               开枪，该死！
adviser_conviction_heist4               你在等什么，孬种，快开枪！
adviser_conviction_heist6               狗崽子！
adviser_conviction_heist7               别开枪！别开枪！
adviser_conviction_heist8               混账东西，举起手来！
adviser_conviction_heist9               我做什么你就做什么，明白吗？
adviser_conviction_heist10              该死，该死，该死！
adviser_conviction_heist11              别开枪！别开枪！

conviction_intro_1                      继最近 Alchem​​ico 州立监狱发生的悲剧后，我们面临着无尽的政治审查。
conviction_intro_2                      在找到首席执行官的永久替代者之前，我想让你主持大局。
conviction_intro_3                      近期这所监狱出现大量囚犯自杀的事件，很难找出原因。但我们有一个更加紧急的问题。
conviction_intro_4                      当局决定向我们送来极大一批新囚犯。第一批将在明天抵达，我们并没有地方关押他们。
conviction_intro_5                      我需要你建造全新监狱区块，提供足够的空间来应付新接收的囚犯。
conviction_intro_5b 					我已经准备了新牢房区块的潜在设计，应该足够建造应付新入囚犯的牢房，而且设计中还包括了其自身的淋浴设施。
conviction_intro_5c 					你可以遵照设计也可以选择完全不同的方式，由你决定。
conviction_intro_6                      我的职责是优先解决这些人的福利。建立新牢房区块，然后我们再谈谈如何实现。

unused_conviction_intro_4                      我们的一名囚犯已被实施防自杀监视。他就是亨利•摩根，本尼迪克特的犯罪同伙。可能被判处13月至5年的刑期。
unused_conviction_intro_7						我想过去和他谈谈。我们不能再让自杀事件发生。

conviction_workintro1                   很长一段时间以来，我们都把这些人视如草芥，现在不要这样做了。
conviction_workintro2                   这名前首席执行官从来都不是监狱改革的深信者。但在我看来，我们需要让这些人看到对未来的希望。
conviction_workintro3                   我们需要给他们教授在其获得释放后能够取得成功的技能——宝贵的行业技能，一种基础教育。
conviction_workintro4                   我们应该启动工作学徒计划。给他们培训真正的技能，让他们至少能够憧憬未来。

这些人与社会脱节。他们需要被赋予一定的价值感。
conviction_hurst1 						监狱囚犯的脱节程度令人震惊。人们丧失了所有人性。
conviction_hurst2 						他们也缺乏同情或尊重。你不能期望他们以任何方式回应，除了极度的愤恨。
conviction_hurst3 						这不是这些人应得的。
conviction_hurst4 						确实如此，长官。没有办法来治疗人类。他们已经没有任何人性。
conviction_hurst4b 						他们为什么要遵守我们的规则？除了极度不满，你别期望有任何回应。
conviction_hurst4c						我们要帮助这些人。我们需要教室和戒毒方案。还需要工坊，这样他们就可以发挥技能并引以为豪。
conviction_hurst6 						医师，你误会我了。这些人不是人类。你自己看。
conviction_hurst6b 						囚犯摩根！醒醒！
conviction_hurst7 						摩根，站起来。有人找你。
conviction_hurst8 						康复？ 还不如教猴子玩班卓琴。

conviction_hurst10 						孩子，你叫什么名字？
conviction_hurst10b                     男士问了你一个问题。
conviction_hurst11 						先生，我叫亨利。
conviction_hurst12 						亨利，一定要冷静下来。
conviction_hurst13 						先生，床上有虱子。把我活吃了吧。衬衫可以赶走老鼠。这是我见过的最大的。
conviction_hurst14 						叫我沃尔特就行。
conviction_hurst15 						你睡得怎样？
conviction_hurst16 						不要睡觉。我在这里唯一​​要做的就是思考。花大量的时间思考。
conviction_hurst16b                     你思考些什么？
conviction_hurst16c                     死亡居多。和我的小女儿。
conviction_hurst17 						亨利，你得坚强一些，她需要你。真是难为她了。
conviction_hurst18 						在她生命中的每一天，我都身陷囹圄。她甚至不知道我的存在。
conviction_hurst19 						亨利，改变生活永远不晚。
conviction_hurst19b 					如果可以，我想再来看你。
conviction_hurst20 						好的，先生。谢谢你，先生。
conviction_hurst21 						对于这些老鼠，我们能做些什么？ 这不是第三世界。
conviction_hurst22 						我会在那放一些鼠药。

conviction_visitationintro_1            我成功劝说安保主管破例给摩根家庭探视权。

conviction_visitation_0					你好先生。凯里•摩根，过来见亨利•摩根。
conviction_visitation_1					站在线后面。
conviction_visitation_2 				我很抱歉。我到这来见亨利。亨利•摩根。他是我的丈夫，先生。
conviction_visitation_3 				我不会再说一遍。马上站到线后面去。
conviction_visitation_4 				好的，先生。对不起，先生。
conviction_visitation_5 				好吧。站出来。我可没有一整天的时间。
conviction_visitation_6					姓名。
conviction_visitation_7					先生，我叫凯里•摩根。我来探视亨利•摩根。我是他的宝贝女儿。
conviction_visitation_8					这就是你告诉他的内容？继续讲完。
conviction_visitation_8a                凯里！
conviction_visitation_9					恐怕出错了。摩根失去了他的探视特权。
conviction_visitation_9b 				什么？ 
conviction_visitation_9c 				我很抱歉。我们今天上午在他的牢房里发现了白酒。我爱莫能助。
conviction_visitation_10				我花了两个小时才到这里来。我女儿在哭。这不公平。
conviction_visitation_11				你想要公平，去迪斯尼乐园吧。能够赢得金鱼还可以吃热狗的地方才有公平。这里没有公平。
conviction_visitation_12				请把这个给他。
conviction_visitation_13                当然可以。相当长的一段时间里都不会有人来探视他。需要传递什么消息吗？
conviction_visitation_14                不用，没什么可说的。

conviction_visitation_angrymorgan0		不！
conviction_visitation_angrymorgan1		等一下！
conviction_visitation_angrymorgan2		你不能这么做！
conviction_visitation_angrymorgan3		让我跟她说话！
conviction_visitation_angrymorgan4		你这该死的混蛋！

conviction_helpinmates_1                真令人失望。
conviction_helpinmates_2                要找到真正帮助这些人的方法很难。他们需要学会帮助自己。
conviction_helpinmates_3                很明显，我们需要解决探视设施问题。家属们在门外排队，我们显然无法应付目前这么多数量的探视者。
conviction_helpinmates_4                建造全新的探视设施。尽管发生了摩根那样的事情，我们还是要看到正面的好处。他也不是这里唯一有家属的人。
conviction_helpinmates_5                我做了一些调查，震惊地发现许多囚犯只会最简单的数学和阅读。我们需要开始补救。
conviction_helpinmates_6                开设新的课堂设施，聘请外部教师教授基础知识。如果没有教育，这些囚犯除了犯罪别无希望。
conviction_helpinmates_7                我们需要保持囚犯流入方面的优势。持续扩大监狱容量，让每一名囚犯都有高品质的牢房。

conviction_outro1                       我想我们在这方面实现了巨大的改变。我们让囚犯有了目标以及继续生活的理由。
conviction_outro2                       如果你愿意，可以留下帮助我们见证第一批囚犯经历我们的教育和工作计划。
conviction_outro3                       但我想从这里开始我们就能应付了。当你准备离开时，点击摩根牢房里的宝丽来摄像头。

conviction_secondvisit_1                我想在我的聚会上见到你。
conviction_secondvisit_2                我做不到。我不能在这个洞里再待下去。
conviction_secondvisit_3                一天一次。
conviction_secondvisit_4                我是说这整个臭气熏天的地方。进进出出，他们不让我见我家人。我陷入困境了，这种局面不会改变。
conviction_secondvisit_5                亨利，会好起来的。我一直在你身边。
conviction_secondvisit_6                这有趣，他说的话和这一模一样。
conviction_secondvisit_7                谁？亨利？你告诉我。
conviction_secondvisit_8                他照料我。
conviction_secondvisit_9                从我还是孩子起便如此。
conviction_secondvisit_10               孩子，不管发生什么，要泰然自若、从容应对。
conviction_secondvisit_11               我会一直在你身边。
conviction_secondvisit_11b 				在我身边？
conviction_secondvisit_12               他已经不在那儿了。
conviction_secondvisit_13               我会跟你签个协议。到我的下一个小组来，看看我们是否能够放宽你的探视特权。
conviction_secondvisit_14               先生，你会为我那样做吗？
conviction_secondvisit_15               亨利，这并不只是为了你。

conviction_suicide_1 					对不起，先生，我以为你应该知道。又有一起自杀事件。
conviction_suicide_2					看起来一名囚犯咽下了老鼠药。
conviction_suicide_3					赫斯特医师正赶过去进行确认。
conviction_suicide_4					她难道不是你见过的最美丽的人儿？
conviction_suicide_5					我想她可能是。
conviction_suicide_6					先生，改变生活永远不晚。

objective_conviction_expandcapacity50			处理新囚犯接收事宜
objective_conviction_expandcapacity50_description	你可从主工具栏进入“规划”模式查看新牢房区块的潜在布局。
objective_conviction_expandcapacity_cells	 	为40名囚犯提供牢房
objective_conviction_expandcapacity_shower		提供淋浴设施
objective_conviction_expandcapacity_yard		提供庭院
objective_conviction_expandcapacity_intake		
等待下一批新囚犯抵达
objective_conviction_workprogram 				执行一项工作技能培训计划
objective_conviction_unlocklabour				通过行政系统授权“狱中劳役”
objective_conviction_work_trainkitchen			（可选）让五名囚犯完成厨房安全和卫生培训
objective_conviction_work_kitchen				分配囚犯到厨房工作
objective_conviction_work_workshop				建立工坊
objective_conviction_work_trainworkshop			（可选）让十名囚犯参加工坊安全入门课程
objective_conviction_work_assignworkshop		分配囚犯到工坊工作
objective_conviction_work_produceplates			（可选）制作100个车牌
objective_conviction_work_exportszone			在路边分配一个输出区
objective_conviction_work_setintake             将囚犯接收水平设定为10

objective_conviction_unlocklabour_description	点击待办事项列表上的图标即可打开行政系统屏幕。
objective_conviction_work_kitchen_description	 转至“后勤”然后“狱中劳役”可向厨房分配囚犯。\n\n注意，你的囚犯必须通过“厨房安全和卫生”培训课程后才能在厨房工作。
objective_conviction_work_assignworkshop_description 	转至“后勤”然后“狱中劳役”可向工坊分配囚犯。\n\n注意，你的囚犯必须通过“工坊安全入门课程”培训课程后才有资格在工坊工作。
objective_conviction_work_trainkitchen_description 		转至“报告”（右下角）然后“方案”以运行培训和改造方案。囚犯将在其被分配的工作期间参加这些方案。\n\n注意，你需要在制度安排屏幕中分配两小时的“工作”时间，否则囚犯将没有时间参加培训。
objective_conviction_work_trainworkshop_description 	转至“报告”（右下角）然后“方案”以运行培训和改造方案。囚犯将在其被分配的工作期间参加这些方案。\n\n注意，你需要在制度安排屏幕中分配两小时的“工作”时间，否则囚犯将没有时间参加培训。
objective_conviction_work_setintake_description         为了确保你的监狱不过于拥挤，转至转至“报告”（右下角）然后“接收”，并使用<<键将接收水平降低至10。

objective_conviction_visitation				提供更好的探视服务
objective_conviction_visitationroom	建立新的探视者中心
objective_conviction_visitationcount		促进20次囚犯家庭探视
objective_conviction_telephones	 			给所有庭院安装电话
objective_conviction_mailroom				建立邮件室
objective_conviction_mailroomwork			分配囚犯到邮件室工作

objective_conviction_mailroomwork_description           转至“后勤”然后“狱中劳役”向邮件室分配囚犯。

objective_conviction_education				开始教育你的囚犯
objective_conviction_unlockeducation		通过行政系统授权“教育”
objective_conviction_education_classroom	建立教室
objective_conviction_education_class 		开设基础教育课堂
objective_conviction_education_learn		（可选）让五名囚犯通过基础教育课堂
objective_conviction_education_library		建立图书馆
objective_conviction_education_librarywork	分配囚犯到图书馆工作
objective_conviction_education_chapel		建立小礼拜堂
objective_conviction_education_spiritual	开设精神指引课堂

objective_conviction_expandcapacity100			扩展监狱容量
objective_conviction_expandcapacity_cells100	扩展到可容纳80个牢房
objective_conviction_expandcapacity_cells200	（可选）扩展到可容纳120个牢房

objective_Conviction_PlayerExitsMap         完成时点击摩根牢房中的宝丽来摄像头。

 
# =============================================================================
# Epilogue
# =============================================================================

campaignchapter_epilogue                自力更生
campaigncutscene_epilogueintro          再探视
campaigncutscene_epilogueoutro          结语

campaignchapter_epilogue_description    这所具有历史意义的监狱将要被拆除重建。使用你所学到的所有技能打造终极设施。

adviser_name_reporter 					记者

epilogue_newsintro1 					CNDC今日新闻，有关我们监狱状态的特别报道。
epilogue_newsintro2 					罪大恶极的“Alchemico围攻”夺走了包括首席执行官查尔斯•华莱士在内的众多生命，事情已经过去了两年。
epilogue_newsintro4 					今天我们将聆听一流专家的见解，并询问自那些悲剧事件发生之后有哪些改变。
epilogue_newsintro5 					首先我们连线近期准备拆除的本国运行时间最长的监狱之一。
epilogue_newsintro6						开始直播，由CNDC新闻独家呈现。

epilogue_reporter1						谢谢莎拉。这所监狱关押了一些本国最臭名昭著的罪犯。
epilogue_reporter2 						但现在其围墙已经被拆除，准备建立一所新的监狱综合建筑。
epilogue_reporter3 						向我的后方看，你能看到施工人员已到位，拆除工作已经开始。
epilogue_reporter4 						和我一起的是市长卡尔文•海勒。感谢海勒先生今天抽出宝贵的时间给我们讲话。
epilogue_reporter5 						这是我的荣幸。

epilogue_reporter6 						过去您一直是强硬、更纪律化监狱管理方法的强力倡导者。
epilogue_reporter6b 					为什么要拆除这所定义了惩罚性方法如此之久的监狱？
epilogue_reporter7 						监狱及其运营方式都已经过时了。
epilogue_reporter8 						我们决定用一所全新的监狱来取代它。政策也会更加现代化。
epilogue_reporter9						几年前，这所监狱作为国家最后的行刑设施上了新闻。
epilogue_reporter10 					活动人士长期以来试图废除这里的死刑法。你会让他们如愿吗，或者你会重建行刑设施？
epilogue_reporter12 					还在审查中，我们不会轻易做这方面的决定。

epilogue_reporterend1 					谢谢海勒市长。返回演播室。
epilogue_newstransition1 				你正在收看CNDC新闻，实时报道我们监狱系统的状态。
epilogue_newstransition2 				短暂的休息之后，我们将迎来监狱的心理和康复专家沃尔特•赫斯特博士。

epilogue_parole1 						还是什么也没有？多长时间了？
epilogue_parole2						我记不清了。没有电话，也没有来信。
epilogue_parole3 						抱歉摩根。会很疼，但你有机会。别搞砸了。
epilogue_parole4 						亨利，祝你好运。
epilogue_parole5 						不要尝试告诉他们你认为他们想听的东西。
epilogue_parole6 						我得走了。我一分钟之内要进行直播。
epilogue_parole7                        海勒市长，您有什么看法？
epilogue_parole10 						这很快！
epilogue_parole11 						真的？
epilogue_parole12                       ……

epilogue_outro_1 						欢迎回到CNDC新闻特别版，由我与卡尔文•海勒市长一起直播。
epilogue_outro_2 						现在加入我们的是沃尔特•赫斯特博士，被指责在监狱改造中挥霍了大量的资金。
epilogue_outro_2b 						赫斯特博士，你相信你已经成功了吗？
epilogue_outro_3						成功？没有，一般说来没有。
epilogue_outro_4						我相信每个人都有潜力改进。我们必须给他们机会。
epilogue_outro_4b 						我可以绝对确信地说，我在很多被监禁在这里的囚犯身上看到了态度和希望方面的实质改进。
epilogue_outro_5						监禁应该是一种威慑，不应该是发展或改变的机会。
epilogue_outro_6 						在其服刑期间惩罚并使其失去人性只会导致犯罪。

epilogue_outro_7						我们给这些囚犯提供了宝贵的技能，更重要的是，让他们有了希望。
epilogue_outro_7b  						我们在帮助他们重新融入社会，并在出狱之后为社会做贡献。
epilogue_outro_8						普通市民不会得到免费培训、免费教育和保证付钱的工作。
epilogue_outro_8b 						我们忽略了犯罪的受害者，并奖励了犯罪者。
epilogue_outro_8c 						花费巨资只是为了让这些罪犯感觉自己更好。
epilogue_outro_9						我们能够做出改变，即使每次只改变一个人。
epilogue_outro_10						这些人没有挣得其自主和自由。
epilogue_outro_11						你可以告诉公猫一百次让鸟儿独自留在你的后院，但他还是会回去。
epilogue_outro_12 						他本性如此。

epilogue_sandbox_1                      祝贺你被任命为首席执行官。这是一个机遇，一个全新的开始。
epilogue_sandbox_2                      你或多或少有完整的自治权、更多的囚犯和更高的再犯罪率。你面临很多挑战。
epilogue_sandbox_3						至于死刑设施，将它拆除。或将其保留，使用几次。这取决于你。如果你不做，其他人就会做。
epilogue_sandbox_4						我给你的目标与你的前任一样，包括利润、再犯罪率和容量。
epilogue_sandbox_5 						如何实现目标则完全由你决定。
epilogue_sandbox_5b                     最后，前首席执行官查尔斯•华莱士留下了一封他曾用来给任何加入公司的新监狱建筑师的信件。
epilogue_sandbox_5c                     他有一些不错的建议。看一看是很有用的。
epilogue_sandbox_6						祝你好运！

objective_epilogue_grants				通过补助系统筹集资金
objective_epilogue_grants_description   补助是用来筹集修建监狱所需的大笔现金的主要方法之一。\n\n注意，你可在报告（屏幕右下角）的“补助”下方看到所有补助。各种机构会向你提供资金以让你从零开始修建监狱的特定部分。

objective_epilogue_certifiedprison		建造监狱
objective_epilogue_capacity				至少100名囚犯
objective_epilogue_bankbalance			银行余额至少100,000美元
objective_epilogue_cashflow				净正现金流

epilogue_outrointro_1                   我能看出你有一个非常不错的开始。
epilogue_outrointro_2                   如果你在电视附近，现在打开电视。我想让你看一些东西。

epilogue_basiccompletion_1 				你已经实现了国家监狱的最低要求。从此往上走多远取决于你。
epilogue_basiccompletion_2 				此刻，如何继续完全取决于你和你的公司。
epilogue_basiccompletion_3 				我们只关心市长办公室的一个数字，那就是再犯罪率。
epilogue_basiccompletion_4	 			如果你降低囚犯们的再犯罪率，我就可以称之为成功。
epilogue_basiccompletion_5 				赫斯特博士这样的人相信你可以通过教育、改造和技能培训等实现成功。
epilogue_basiccompletion_6 				在我看来，惩罚也是一种有效的方法。
epilogue_basiccompletion_8 				由你决定！祝你好运！

objective_epilogue_reoffending			（可选）降低监狱再犯罪率
objective_epilogue_reoffending_description	你可以在“监狱评级”屏幕中查看再犯罪率。点击屏幕左上角的图标。

objective_epilogue_reoffending_rate		最多将再犯罪率降低到30%
objective_epilogue_reoffending_released	至少释放10名囚犯


# =============================================================================
# MCExporter
# =============================================================================


codex_mcexport                          将监狱输出用于 Minecraft
codex_mcexportname						Minecraft 输出器
codex_worldnametitle					世界名称
codex_seedtitle							种子
codex_gamemodetitle						游戏模式
codex_mapfeattitle						地图功能
codex_cheatstitle						秘籍
codex_timeofdaytitle					当天时间
codex_rainingtitle						降雨
codex_thunderingtitle					雷鸣
codex_generatortitle					生成器
codex_scaletitle						比例
codex_exporttomc						输出
codex_mcexport_default					默认
codex_mcexport_flat						平坦
codex_mcexport_largebiomes				巨型生物群系
codex_mcexport_survival					生存
codex_mcexport_creative					创意
codex_mcexport_adventure				冒险


# =============================================================================
# Escape Mode
# =============================================================================

escapemode_help_title                   逃跑——这是出去的唯一方式
escapemode_help                         第一步：声望——你的声望在这里意味着一切\n\n•通过格斗提高声望。伤害别人会引人注意，但破坏东西是一个较好的切入点。在打斗中造成越多伤害越好。\n•不要让警卫看到，如果警卫看到你打斗，你会遭到惩罚，除非他们不在附近。\n•被人击倒可不好看。你最好靠自己结束打斗。\n\n第二步：小队——招募其他人加入你的逃跑计划\n\n•吹口哨召集他们，你去哪他们就会寸步不离。（在左上角点击他们的姓名）\n•他们甚至可以和你一起打斗，这有助于更快地增加你的声望。\n•训练你的小队。拥有格斗能手或短跑健将在身边会很有用。\n\n第三步：违禁品——你将需要武器和工具\n\n•找到一个房间，里面将会有你想要的东西。环顾四周，你会很快发现可以偷走的有用的东西。\n•要提防金属探测器和试图搜查你的警卫。如果他们在你身上发现任何东西，你会被独自监禁。\n•藏匿你的装备。你可以在你的牢房或他人的牢房藏匿你找到的物品，要牢记位置。\n\n第四步：地道——安静地逃离\n\n•找一个挖掘工具开始从你牢房的马桶挖掘地道。\n•挖掘会很漫长。让小队成员帮助你挖掘。\n•不要被发现。如果警卫发现你进入或退出地道，你的计划就会被看穿。\n\n祝你好运。你会需要它的。

codex_escapemode                        脱逃模式
codex_escapemode_developer              （开发者）脱逃模式
codex_escapemode_new                    新的脱逃
codex_escapemode_load                   加载脱逃
codex_escapemode_save                   保存脱逃
codex_escapemode_workshop               脱逃模式(Steam Workshop)
codex_escapemode_workshop_star_rating   *S 星或以上

escapemode_combat_attack                攻击
escapemode_combat_attack_button         点击左键
escapemode_combat_lunge                 刺
escapemode_combat_lunge_button          Shift键
escapemode_dig_button                   按住左键
escapemode_dig                          挖掘
escapemode_surrender                    投降
escapemode_surrender_safe               结束打斗
escapemode_surrender_button             空格键

escapemode_gameover                     游戏结束

escapemode_reputation_points            声望积分：
escapemode_reputations_cost             *C个声望积分
escapemode_reputations_max              最大

escapesquad_squad_member                小队成员
escapesquad_recruitment                 按住右键进行招募
escapesquad_recruitment_cost            声誉积分花费：*C
escapesquad_toggle_follow               关注或取消关注
escapesquad_nameplate_following         关注中
escapesquad_skip_punishments            跳过惩罚
escapesquad_skip_punishments_tooltip    花费一个声望积分让你的所有小队成员在睡眠中度过惩罚并在牢房中醒来。
escapesquad_sleep                       睡眠
escapesquad_sleep_tooltip               点击进行整夜睡眠。
escapesquad_reputations                 声誉
escapesquad_reputations_tooltip         花费声誉积分来提高你的小队的战斗能力。
escapesquad_follow_mode                 仿效模式
escapesquad_follow_mode_tooltip         仿效模式中的囚犯将仿效你并模仿你的不当行为。\n\n使用 R 键一次开启或关闭所有囚犯的仿效模式。
escapesquad_remove_member               移除小队成员
escapesquad_remove_member_tooltip       点击以从你的小队中移除此囚犯。
escapesquad_escaped                     已脱逃

escapemode_info_right_click             右键点击
escapemode_info_hold_right_click        按住右键
escapemode_info_stash                   藏匿违禁品
escapemode_info_pick_up                 拿起违禁品
escapemode_info_start_tunnel            开启地道
escapemode_info_enter_tunnel            进入地道
escapemode_info_exit_tunnel             退出地道
escapemode_info_dig_up                  挖掘
escapemode_info_steal                   偷窃

escapemode_info_tool                    [挖掘工具]
escapemode_info_damage                  损害： *D
escapemode_info_recharge                装填时间：*T

escapemode_gameover                     游戏结束
escapemode_gameover_squad_title         小队
escapemode_gameover_casualties_title    受害者
escapemode_gameover_totalscore_title    总分
escapemode_gameover_totaltime_title     所用的时间
escapemode_gameover_time_days           *D天*H小时*M分钟
escapemode_gameover_time                *H小时*M分钟

codex_workshop_select_random_prison     随机工坊监狱
codex_workshop_searching                搜查中


# =============================================================================
# Collectables
# =============================================================================


codex_gamebible                         游戏圣经
codex_gamebible_next                    >
codex_gamebible_prev                    <
codex_gamebible_singlepage              页码 *X
codex_gamebible_doublepage              页码 *X-*Y
object_collectable                      笔记本页面
